seconds,connectivity,block:block_bio_backmerge,block:block_dirty_buffer,block:block_getrq,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,ipi:ipi_raise,irq:softirq_entry,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmem_cache_alloc,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,page-faults,pagemap:mm_lru_insertion,qdisc:qdisc_dequeue,random:get_random_bytes,random:urandom_read,rpm:rpm_resume,rpm:rpm_suspend,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,tcp:tcp_probe,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written,label
5.010495875,1,0,0,0,0,0,27,275169,344,0,2076,4245,0,16532,6810,3345,2507,3349,189,5,2504,952,227,11,45,131,12,951,32,576,0,13,342,74,1,0,0,25,0,1,0,0,1,5.0
5.01010613,1,0,0,0,0,0,0,565791,2,0,2585,5270,0,19654,1870,82,7,91,0,4,30,5,181,1,7,110,10,196,27,16,0,77,574,68,1,0,0,5,0,1,0,0,1,9.0
5.010487909,1,0,0,0,0,12,21,362106,335,0,2105,3888,0,16379,4042,2685,2324,2686,0,5,891,274,207,4,5,121,12,1189,26,835,0,10,369,86,1,0,0,5,0,1,0,0,1,4.0
5.010501341,1,0,0,0,0,2,20,550797,6,0,2206,5073,0,23549,6009,1275,422,1280,126,5,2501,941,207,11,45,121,12,232,26,27,0,79,383,68,1,0,0,24,0,1,0,0,1,14.0
5.010754925,1,6,6,2,1,0,18,276958,341,2,1927,3991,1,16178,3968,2528,2232,2524,126,9,898,268,221,4,5,136,15,936,33,565,0,10,339,87,1,0,0,9,0,1,0,0,1,5.0
5.01041508,1,9,418,2,1,0,14,611665,106,55,2898,6523,1,24379,11058,2353,353,2355,252,9,4784,1682,331,27,46,240,15,465,90,27,17,103,572,86,2,0,0,489,5,1,0,0,1,11.0
5.010460156,1,6,6,3,2,0,5,592179,3,2,2697,5085,1,23583,6052,1277,106,1284,126,11,2494,946,209,11,45,132,17,232,27,25,0,85,387,85,1,6,6,23,1,1,1,0,2,13.0
5.010668677,1,0,0,0,0,0,3,654353,3,0,2558,5176,0,23306,3937,667,153,508,63,5,1354,430,213,6,15,124,12,229,23,15,0,83,377,64,1,0,0,9,0,1,0,0,1,1.0
5.010317624,0,0,0,0,0,0,2,595279,42,0,2764,5193,0,21515,1265,203,69,77,0,4,156,132,80,0,0,60,10,237,21,111,0,0,296,68,1,0,0,4,0,1,0,0,1,13.0
5.010278443,1,5,5,3,2,0,17,282513,337,2,1956,4234,1,17125,8453,3598,2354,3606,252,11,3260,1071,217,13,44,132,18,1037,35,677,0,17,358,82,1,1,0,28,0,1,1,1,2,7.0
5.010869696,1,0,0,0,0,0,29,254502,342,0,611,4111,0,16510,6784,3301,2382,3327,252,5,2514,945,221,12,44,128,12,1031,28,663,0,10,343,71,1,5,5,23,0,1,1,0,2,6.0
5.01665824,1,5,5,2,1,0,10,505626,2,2,619,4837,1,22534,4052,775,24,793,0,9,1550,543,27,8,17,35,15,49,27,25,0,13,244,77,1,0,0,61,0,1,0,0,1,10.0
5.012070199,1,5,5,2,1,0,13,274691,339,2,547,3845,1,15942,1998,2107,2013,2121,0,9,54,11,217,0,5,130,16,1027,32,662,0,10,330,86,1,0,0,3,0,1,0,0,1,6.0
5.009864164,1,10,428,5,3,0,7,653647,119,56,3014,6367,1,24438,8253,1528,86,1537,0,101,3189,986,357,20,5,308,17,578,91,72,16,100,694,130,3,5,6,486,7,1,4,3,2,11.0
5.010751248,1,0,0,0,0,0,36,269519,339,0,584,4006,0,16116,4627,2921,2115,2930,0,5,1640,706,217,7,44,126,11,941,27,577,0,10,329,73,1,0,0,17,0,1,0,0,1,5.0
5.016384641,1,0,0,0,0,0,2,589644,3,0,438,4840,0,22266,2101,400,135,359,126,5,655,283,21,3,16,32,12,45,29,25,0,10,232,71,1,5,5,59,0,1,1,0,2,10.0
5.010543617,1,0,0,0,0,10,110,323283,508,0,2588,4624,0,16955,4191,2159,1618,2163,189,110,925,273,393,4,6,283,12,893,42,224,0,13,519,124,1,0,0,263,0,1,0,0,1,3.0
5.010251514,1,0,0,0,0,12,14,363037,338,0,2077,3889,0,16503,4164,2688,2199,2686,0,4,918,259,217,4,6,128,10,1214,30,848,0,13,368,79,1,0,0,9,0,1,0,0,1,4.0
5.010487048,1,5,5,3,2,0,8,656908,3,2,1577,5012,1,23592,3294,471,28,484,0,143,915,251,209,5,6,206,16,342,26,88,0,84,528,134,3,1,0,11,1,1,2,2,3,13.0
5.01037291,1,0,0,0,0,2,62,314873,475,0,2469,4487,0,16725,4702,2585,2002,2602,315,5,1637,711,427,7,44,235,12,860,33,215,0,10,357,73,1,0,0,243,0,1,0,0,1,8.0
5.010342017,1,5,5,2,1,0,7,588527,3,2,2766,5850,1,22325,6268,1289,359,1286,126,9,2522,945,195,11,130,119,15,220,30,26,0,79,574,76,1,0,0,24,1,1,0,0,1,12.0
5.010367815,1,0,0,0,0,0,10,624858,17,0,550,5819,0,22648,6042,1195,295,1209,63,5,2619,902,201,13,131,122,11,228,22,31,0,84,566,72,1,0,0,19,0,1,0,0,1,12.0
5.010357426,1,0,0,0,0,0,18,611104,3,0,2379,5625,0,18977,6925,1288,295,1298,189,5,2510,949,173,11,45,108,12,200,34,29,0,74,529,69,1,0,0,22,0,1,0,0,1,9.0
5.011127894,1,0,0,0,0,0,19,280473,340,0,2053,4162,0,16434,6684,3364,2444,3362,126,4,2520,949,219,11,44,125,10,941,28,578,0,10,343,75,1,5,5,25,0,1,1,0,2,8.0
5.011042256,1,0,0,0,0,0,29,296386,509,0,2484,4834,0,17348,5895,2543,1675,2563,0,5,1927,481,401,10,6,218,12,842,35,214,0,20,382,82,1,5,5,244,0,1,1,0,2,2.0
5.010521404,1,0,0,0,0,0,29,264698,345,0,738,4105,0,16234,4747,2930,2424,2934,126,5,1640,686,227,7,45,131,12,952,31,575,0,13,348,75,1,0,0,21,0,1,0,0,1,5.0
5.014637699,1,0,0,0,0,0,38,273974,357,0,2169,4448,0,17154,10397,4002,2528,3858,126,5,3910,1453,223,20,49,129,12,1036,38,703,0,10,374,80,1,0,0,36,0,1,0,0,1,5.0
5.016460791,1,0,0,0,0,0,3,542224,3,0,472,4591,0,22225,1889,388,136,410,0,4,666,290,25,3,16,28,10,44,22,20,0,11,229,65,1,0,0,55,0,1,0,0,1,10.0
5.010526151,1,0,0,0,0,6,23,334063,331,0,2317,4116,0,17318,8645,3649,2582,3667,63,5,3278,1042,217,13,44,130,11,1210,35,853,0,19,376,73,1,0,0,29,0,1,0,0,1,4.0
5.010722123,1,0,0,0,0,2,10,574826,3,0,745,4888,0,23586,6105,1274,231,1286,252,4,2510,940,205,11,44,122,10,228,30,24,0,75,385,65,1,0,0,25,0,1,0,0,1,14.0
5.010520645,1,0,0,1,1,10,35,354585,367,0,2269,4124,0,17455,8566,3662,2291,3682,315,7,3245,1073,243,13,44,141,14,1276,29,859,0,17,394,78,3,1,0,27,0,1,2,2,3,4.0
5.010379266,1,0,0,0,0,0,7,640719,3,0,2512,5882,0,19565,1755,75,69,83,63,5,39,5,179,0,6,107,12,190,23,12,0,73,548,58,1,0,0,3,0,1,0,0,1,9.0
5.010783013,1,0,0,0,0,0,28,287089,342,0,2003,4233,0,16383,4557,2793,2387,2796,0,4,1302,450,249,5,7,141,10,1057,30,680,11,47,372,69,1,0,0,6,0,1,0,0,1,7.0
5.010735274,1,5,5,3,2,0,5,570322,8,2,480,4747,1,23450,3439,605,23,473,0,11,1137,394,231,4,7,143,18,244,23,23,4,97,398,79,1,6,6,7,1,1,1,0,2,1.0
5.010586129,1,5,5,3,2,0,8,581049,2,2,2268,4725,1,23480,3327,482,84,488,63,11,918,281,211,4,6,133,16,226,32,15,0,82,383,82,1,6,6,8,1,1,1,0,2,1.0
5.012907656,1,0,0,1,1,0,6,284857,337,0,1952,4063,0,16165,3945,2510,2043,2506,0,7,913,271,221,4,5,134,14,932,32,571,0,10,337,77,1,1,0,11,0,1,2,2,2,5.0
5.01589447,1,0,0,0,0,10,29,343331,335,0,2319,4120,0,17442,8783,3708,2355,3690,0,5,3300,1073,221,13,45,128,12,1214,39,856,0,20,386,81,1,0,0,28,0,1,0,0,1,4.0
5.010382957,1,0,0,0,0,2,2,613082,3,0,508,4990,0,23525,5908,1257,547,1273,126,5,2480,964,207,11,44,121,11,228,23,22,0,81,390,73,1,0,0,27,0,1,0,0,1,14.0
5.010421311,1,0,0,0,0,4,38,299587,510,0,2248,4344,0,16478,1920,1765,1604,1761,126,5,40,5,387,0,5,215,12,828,37,207,0,10,353,74,1,0,0,254,0,1,0,0,1,3.0
5.010679531,1,5,5,2,1,0,23,273935,337,2,2035,4212,1,16597,6961,3449,2347,3431,63,9,2520,937,209,11,44,126,16,1029,35,673,0,10,349,82,1,0,0,26,0,1,0,0,1,7.0
5.010573477,1,5,5,2,1,0,5,576360,3,2,530,4966,1,23174,3017,449,84,455,0,8,907,263,203,4,5,121,13,216,21,11,0,78,359,74,1,0,0,10,0,1,1,1,2,13.0
5.012357066,1,0,0,0,0,0,25,272142,342,0,2127,4199,0,16524,6747,3314,2186,3324,126,104,2529,944,225,11,44,189,11,993,28,587,0,12,471,121,1,0,0,22,0,1,0,0,1,5.0
5.009980191,1,8,264,3,2,2,1,581357,3,3,553,4800,1,22743,1484,74,9,102,0,11,14,6,209,0,6,128,17,225,30,15,0,82,384,74,1,1,0,264,1,1,0,0,1,13.0
5.010298649,1,5,5,2,1,0,23,285552,354,2,596,4141,1,16245,2694,2290,2045,2290,0,128,289,110,225,4,6,203,16,1049,37,629,0,13,482,129,1,0,0,5,0,1,0,0,1,5.0
5.01352744,1,6,6,2,1,0,79,284861,508,2,2347,4803,1,16715,3980,2251,1736,2252,0,9,919,269,385,4,5,214,16,824,38,206,0,10,358,88,1,0,0,260,0,1,0,0,1,2.0
5.02082223,1,0,0,0,0,0,16,253318,339,0,2155,4239,0,16986,8190,3498,2389,3565,315,5,3310,1091,223,14,44,129,11,948,28,582,0,17,365,72,1,0,0,27,0,1,0,0,1,8.0
5.033437236,1,0,0,0,0,1,1,588153,6,0,488,4791,0,22364,2011,403,138,415,0,5,700,293,29,4,17,36,12,52,25,22,0,12,250,71,1,5,5,56,0,1,1,0,2,10.0
5.010418896,1,0,0,0,0,0,9,645671,4,0,520,5077,0,21055,3706,595,91,599,0,5,1152,342,191,8,5,113,12,204,21,12,0,75,432,69,1,0,0,5,0,1,0,0,1,14.0
5.01045191,1,5,5,3,2,4,61,324062,507,2,2255,4948,1,17603,8327,3128,1820,3140,252,10,3278,1064,395,13,44,221,14,840,33,220,0,17,411,88,3,1,0,280,1,1,2,2,3,3.0
5.010758279,1,5,5,2,1,2,85,307668,506,2,2583,4407,1,16698,4659,2581,1862,2588,189,9,1640,689,386,7,44,218,15,827,32,214,0,10,358,83,1,0,0,257,0,1,0,0,1,8.0
5.010395317,1,5,5,3,2,0,6,614436,3,2,2906,5074,1,23757,4540,639,155,638,126,11,1622,395,213,6,5,132,16,226,21,15,0,86,387,78,3,1,0,10,1,1,2,2,3,1.0
5.013882235,1,0,0,0,0,1,9,580581,4,0,595,6142,0,23662,6397,1302,232,1307,63,4,2523,945,210,11,137,125,10,238,34,28,0,84,586,66,1,0,0,28,0,1,0,0,1,12.0
5.010360197,1,0,0,0,0,0,5,627577,5,0,1417,4973,0,23314,3004,444,21,450,0,5,938,266,207,4,5,121,12,220,21,12,0,77,342,64,1,0,0,5,0,1,0,0,1,14.0
5.010580001,1,0,0,0,0,0,10,279698,341,0,571,4249,0,16899,5733,2674,2035,2687,63,5,1684,376,233,6,7,134,11,1050,40,673,0,21,347,73,1,0,0,12,0,1,0,0,1,6.0
5.010509063,1,0,0,0,0,4,40,319848,509,0,2479,4271,0,16411,1846,1755,1604,1757,0,5,39,5,389,0,5,212,11,821,34,204,0,10,329,65,1,0,0,251,0,1,0,0,1,3.0
5.010678212,1,7,7,4,2,0,7,616263,3,2,559,5381,1,19909,6106,1063,225,1070,126,13,2373,815,183,9,44,115,18,201,22,25,0,82,570,90,3,5,5,18,1,1,4,3,3,13.0
5.016655713,1,5,5,2,1,10,26,358501,337,2,2155,3965,1,17204,6723,3327,2529,3388,126,9,2439,829,223,10,45,137,15,1229,38,865,0,21,381,87,1,0,0,27,1,1,0,0,1,4.0
5.013321192,1,0,0,0,0,7,100,318574,501,0,2342,4448,0,16725,3916,2168,1681,2169,126,5,919,259,385,4,5,214,12,815,35,203,0,10,369,80,1,0,0,255,0,1,0,0,1,3.0
5.052017609,1,0,0,0,0,0,18,596731,19,0,532,5275,0,23887,4933,956,224,1195,126,5,1868,672,215,9,33,129,11,239,28,20,0,79,388,65,1,0,0,22,0,1,0,0,1,1.0
5.010781165,1,0,0,0,0,8,70,319033,527,0,2463,4471,0,16747,2664,1930,1611,1927,126,4,290,109,397,4,7,218,10,848,44,219,0,14,370,77,1,5,5,247,0,1,1,0,2,3.0
5.01076735,1,0,0,0,0,0,60,290260,508,0,2553,4658,0,16881,4176,2265,1926,2269,252,5,921,286,395,4,7,219,12,839,45,212,0,14,356,74,1,0,0,264,0,1,0,0,1,2.0
5.009897648,1,0,0,0,0,0,0,661961,17,0,482,4730,0,23077,917,50,7,75,0,4,5,5,213,0,5,126,10,233,20,15,0,75,347,58,1,0,0,4,0,1,0,0,1,14.0
5.010955158,1,0,0,0,0,0,33,286752,506,0,2412,4916,0,16759,4762,2674,2000,2678,252,5,1637,695,391,7,45,213,12,835,36,218,0,13,364,73,1,0,0,264,0,1,0,0,1,2.0
5.010402727,1,0,0,0,0,0,15,287806,343,0,528,4236,0,16752,5437,2657,2108,2664,63,5,1670,388,231,6,6,133,11,1038,29,662,0,18,350,69,1,0,0,11,0,1,0,0,1,6.0
5.010209841,1,5,5,3,2,4,88,321124,503,2,2339,4636,1,16729,4687,2573,1815,2595,189,11,1677,696,389,7,45,218,18,826,33,213,0,12,377,87,1,3,6,270,1,1,1,0,2,3.0
5.010973897,1,0,0,0,0,0,12,233040,337,0,2054,3877,0,15884,3071,2538,2149,2305,0,4,793,398,217,3,16,124,10,937,34,577,0,10,321,74,1,0,0,5,0,1,0,0,1,5.0
5.010218813,1,5,5,2,1,0,7,615902,2,2,2899,6160,1,23149,4213,900,344,910,252,9,1618,690,197,7,135,121,16,221,29,23,0,80,580,71,1,0,0,21,0,1,0,0,1,12.0
5.010671002,1,0,0,0,0,4,7,310283,340,0,2292,3611,0,16469,4234,2732,2261,2737,63,5,926,277,213,4,5,128,12,1212,33,847,0,10,345,79,1,0,0,10,0,1,0,0,1,4.0
5.010557274,1,0,0,0,0,0,9,603688,2,0,1075,5742,0,20018,6980,1296,294,1294,252,5,2538,941,181,11,45,108,12,206,34,28,0,73,550,67,1,0,0,27,0,1,0,0,1,9.0
5.010825425,1,5,5,2,1,0,7,242510,344,2,2112,3994,1,16369,4233,2554,2170,2536,0,9,933,273,229,4,7,140,16,957,42,579,0,14,342,82,1,5,5,8,1,1,1,0,2,5.0
5.010451143,1,5,5,3,2,12,10,362333,339,2,1948,3783,1,16521,4201,2722,2200,2732,63,11,926,275,215,4,6,133,15,1216,30,850,0,13,380,89,3,1,0,7,1,1,2,2,3,4.0
5.010682919,1,0,0,0,0,0,21,277079,338,0,626,4396,0,16617,6967,3313,2239,3357,63,5,2526,953,221,11,44,132,12,1037,35,673,0,10,364,76,1,0,0,25,0,1,0,0,1,6.0
5.010614083,1,0,0,0,0,0,14,262966,339,0,594,4153,0,16724,6206,3084,2547,3089,126,4,2361,796,223,9,44,127,10,1037,27,673,0,16,338,72,1,0,0,22,0,1,0,0,1,6.0
5.009526398,1,5,5,2,1,0,3,645668,2,2,502,4866,1,23485,5812,1253,169,1276,0,9,2476,948,203,11,44,123,15,222,23,22,0,84,375,81,1,0,0,28,0,1,0,0,1,14.0
5.009876378,1,0,0,0,0,0,1,665125,4,0,612,6228,0,23739,3285,382,28,406,0,96,1007,227,217,6,97,181,12,315,25,61,0,89,699,106,1,0,0,6,0,1,0,0,1,12.0
5.011090286,1,5,5,2,1,10,88,307525,504,2,2556,4392,1,16802,4072,2154,1602,2168,252,9,927,265,387,4,6,215,16,824,41,209,0,11,383,82,1,0,0,241,0,1,0,0,1,8.0
5.010422243,1,0,0,0,0,0,1,575840,2,0,1663,5034,0,18243,1630,66,6,74,0,5,28,5,165,0,5,100,12,178,20,12,0,70,529,56,1,0,0,5,0,1,0,0,1,13.0
5.015997039,1,5,5,2,1,0,1,586738,16,2,609,4900,1,22665,2953,578,24,538,0,112,893,371,29,7,18,96,14,158,37,92,0,14,383,126,1,0,0,59,0,1,0,0,1,10.0
5.01063834,1,5,5,3,2,0,10,616401,2,2,2548,6025,1,19983,4816,914,92,919,63,10,1657,698,181,7,44,109,13,198,29,21,0,72,564,77,3,1,0,20,1,1,2,2,3,9.0
5.011399749,1,5,5,2,1,10,34,346371,350,2,2442,4246,1,17081,7645,3652,2275,3667,126,133,2783,1047,221,15,44,202,16,1320,29,910,0,10,536,141,1,0,0,27,0,1,0,0,1,8.0
5.010235345,1,0,0,0,0,10,30,364684,334,0,2190,4023,0,16705,6636,3420,2509,3313,189,5,2312,871,213,11,45,124,12,1206,37,849,0,11,363,74,1,5,5,26,0,1,1,0,2,4.0
5.009769823,1,5,5,2,1,0,7,576308,2,2,462,4595,1,22378,3874,745,150,712,0,9,1492,524,29,7,16,36,16,48,23,22,0,12,232,78,1,5,5,63,1,1,1,0,2,10.0
5.010437,1,5,5,2,1,0,24,286836,338,2,1996,4006,1,16284,4813,3025,2200,3060,189,9,1609,703,217,7,45,129,16,1028,30,673,0,13,342,78,1,0,0,21,0,1,0,0,1,7.0
5.010714376,1,0,0,0,0,12,19,356116,338,0,2045,3845,0,16454,4141,2703,2175,2705,126,5,918,263,219,4,6,127,11,1210,30,839,0,13,365,74,1,0,0,8,0,1,0,0,1,4.0
5.010706712,1,9,428,2,1,0,22,609840,95,56,2719,6418,1,24127,10949,2336,415,2342,315,9,4777,1686,307,27,45,225,16,433,86,24,18,94,573,83,2,0,0,502,5,1,0,0,1,11.0
5.011202112,1,6,6,3,2,8,66,317033,508,2,2450,4612,1,16870,4943,2615,1862,2639,189,11,1653,704,388,7,45,216,15,835,42,219,0,11,383,88,3,1,0,271,1,1,2,2,3,3.0
5.010608426,1,5,5,2,1,10,38,359227,343,2,2154,4206,1,16914,7497,3691,2727,3554,315,9,2735,1069,235,11,47,139,15,1241,33,871,4,27,405,87,1,0,0,24,0,1,0,0,1,4.0
5.016312802,1,0,0,0,0,0,11,552222,2,0,2504,4837,0,22864,3622,669,219,689,126,119,1197,420,23,8,6,93,11,147,32,84,0,12,382,119,1,0,0,63,0,1,0,0,1,10.0
5.010845728,1,0,0,0,0,0,8,579767,2,0,1036,4777,0,23617,6088,1287,232,1281,0,4,2522,935,203,11,44,117,10,225,30,24,0,74,360,70,1,0,0,22,0,1,0,0,1,14.0
5.009901929,1,5,5,3,2,0,8,585795,3,2,1673,4685,1,22409,2671,472,78,448,0,11,884,313,23,4,5,39,18,38,21,14,0,10,230,80,1,3,6,60,1,1,1,0,2,10.0
5.010506692,1,10,428,2,1,0,22,609989,107,56,690,6579,1,24384,11085,2359,480,2367,63,9,4809,1675,335,27,46,238,16,470,90,27,17,102,574,83,1,0,0,503,5,1,0,0,1,11.0
5.010720523,1,5,5,3,2,0,10,579295,4,2,553,4902,1,23410,2944,431,211,734,189,11,822,263,215,4,34,129,15,235,31,18,0,86,362,75,3,1,0,19,1,1,2,2,3,1.0
5.010931871,1,0,0,0,0,0,52,243815,510,0,2256,4785,0,17248,6170,2810,2067,2812,189,5,2389,776,395,9,44,215,11,838,32,216,0,17,365,73,1,0,0,266,0,1,0,0,1,2.0
5.010576152,1,9,427,4,2,0,32,628225,93,56,1869,6443,1,24441,11531,2359,227,2100,63,12,4886,1618,305,27,17,224,16,435,92,28,18,94,584,92,3,4,6,489,6,1,3,2,3,11.0
5.010530811,1,0,0,0,0,0,13,287630,335,0,1864,4035,0,16214,4705,3019,2263,3055,189,5,1634,692,209,7,44,126,12,1017,27,662,0,10,342,73,1,5,5,21,0,1,1,0,2,7.0
5.013574071,1,5,5,3,2,0,12,582329,2,2,928,5754,1,20088,6692,1276,295,1288,63,11,2511,949,177,11,44,110,16,196,23,21,0,72,564,81,3,1,0,25,1,1,2,2,3,9.0
5.009812454,1,5,5,2,1,2,4,582889,2,2,1424,4404,1,22486,4043,762,88,740,0,9,1486,529,23,7,16,33,15,45,30,25,0,11,241,78,1,5,5,61,1,1,1,0,2,10.0
5.011593571,1,9,420,2,1,0,20,620392,106,55,1598,6470,1,24416,9307,1680,209,1771,126,9,3411,1074,331,21,6,241,15,462,93,18,17,98,588,83,2,8,8,490,6,1,1,0,2,11.0
5.010383322,1,5,5,2,1,0,4,606570,3,2,506,5132,1,23710,5346,1058,225,1057,63,9,2367,816,207,9,44,125,16,226,22,24,0,89,394,75,1,0,0,23,0,1,0,0,1,13.0
5.010583451,1,5,5,2,1,0,4,587852,3,2,937,5030,1,23234,3157,471,84,482,0,9,918,271,211,5,6,127,15,227,25,15,0,82,370,71,1,0,0,7,0,1,0,0,1,1.0
5.009837329,1,5,5,2,1,0,2,588039,3,2,423,4359,1,22110,1845,371,73,348,0,9,607,285,21,3,16,32,15,40,22,20,0,10,232,79,1,0,0,59,0,1,0,0,1,10.0
5.01048449,1,9,427,2,1,0,20,607562,107,56,2043,6274,1,24654,9670,1706,150,1704,63,9,3913,1131,339,22,5,247,16,481,88,17,17,109,577,81,1,0,0,487,5,1,0,0,1,11.0
5.010647284,1,0,0,0,0,2,13,620262,2,0,2901,5331,0,24038,7545,1448,303,1449,189,4,3245,1056,215,13,45,123,10,237,27,29,0,87,416,70,1,0,0,29,0,1,1,1,2,13.0
5.010776509,1,0,0,0,0,0,20,284667,507,0,2272,4714,0,16744,3979,2275,1864,2262,63,5,923,263,393,4,5,214,11,831,38,209,0,11,340,73,1,0,0,257,0,1,0,0,1,2.0
5.010858527,1,5,5,2,1,0,11,581234,3,2,1676,5058,1,23467,5923,1277,169,1278,63,9,2513,943,203,11,44,123,16,223,23,21,0,79,379,76,1,0,0,27,0,1,0,0,1,13.0
5.009770929,1,5,5,6,2,0,10,589466,3,2,854,5340,1,24194,7707,1438,366,1459,63,16,3186,1055,211,13,45,127,15,238,34,33,0,83,410,91,3,2,5,29,1,1,3,2,3,14.0
5.010565097,1,0,0,0,0,0,36,271091,361,0,698,4578,0,17331,8891,3627,2522,3625,126,39,3486,1162,233,17,44,152,12,1114,29,722,0,17,409,91,1,0,0,29,0,1,0,0,1,6.0
5.012677821,1,0,0,0,0,0,4,645744,2,0,2424,4707,0,23080,1114,83,71,91,63,5,32,5,207,0,5,121,12,220,27,13,0,79,361,56,1,0,0,3,0,1,0,0,1,1.0
5.010178063,1,0,0,0,0,0,25,284983,339,0,484,4276,0,16328,4905,2941,2555,2936,315,5,1636,694,219,7,44,131,12,1035,34,672,0,10,350,77,1,0,0,17,0,1,0,0,1,6.0
5.009846675,1,0,0,0,0,2,2,581942,3,0,444,4464,0,22445,2809,490,14,468,0,5,890,321,21,4,5,28,11,38,28,15,0,10,225,65,1,0,0,59,0,1,0,0,1,10.0
5.010314466,1,5,5,2,1,0,10,613684,15,2,668,6698,1,23789,6971,1443,121,1448,0,123,2759,1034,207,15,135,196,15,341,29,88,0,84,735,136,1,5,5,25,1,1,1,0,2,12.0
5.010150595,1,5,5,4,2,0,8,629785,3,2,2241,5735,1,18653,4654,902,344,906,126,13,1624,687,173,7,45,108,16,195,26,24,0,69,533,76,3,5,4,19,1,1,3,2,3,13.0
5.010161573,1,9,427,2,1,0,22,604583,80,56,1770,6608,1,24140,10956,2344,666,2382,504,9,4754,1689,279,27,46,204,16,398,86,26,19,94,568,81,2,0,0,505,5,1,0,0,1,11.0
5.01024511,1,0,0,0,0,0,11,611213,3,0,559,6592,0,23650,4610,623,28,628,0,4,1643,397,213,6,96,123,10,228,21,16,0,92,570,65,1,5,5,11,0,1,1,0,2,12.0
5.01089736,1,5,5,3,2,0,8,598949,2,2,563,4971,1,23683,4208,772,88,436,0,11,1644,577,207,5,44,125,16,228,29,27,0,86,389,77,3,1,0,15,1,1,2,2,3,13.0
5.010601704,1,7,7,3,2,8,41,339763,383,2,2390,4334,1,17223,7762,3652,2338,3664,126,118,2760,1040,239,15,45,198,16,1360,32,902,0,11,521,142,3,1,0,28,1,1,2,2,3,4.0
5.016162744,1,0,0,0,0,0,8,562105,2,0,709,4650,0,22206,2005,398,137,420,0,5,669,289,29,3,17,32,12,50,26,24,0,15,234,65,1,0,0,57,0,1,0,0,1,10.0
5.010606196,1,5,5,3,2,0,6,602032,15,2,2463,5552,1,24173,6070,1216,240,1216,126,103,2635,907,211,13,44,185,15,334,23,90,0,89,520,129,3,1,0,24,1,1,2,2,3,1.0
5.01022629,1,5,5,2,1,0,9,292048,342,2,498,4263,1,16318,3994,2475,2092,2516,0,128,884,295,219,4,5,200,16,1034,34,623,0,10,494,136,1,0,0,9,0,1,0,0,1,5.0
5.009544337,1,0,0,0,0,0,13,581210,5,0,2929,6135,0,23433,6264,1271,295,1286,63,5,2483,941,203,11,135,119,11,226,33,26,0,82,573,71,1,0,0,22,0,1,0,0,1,12.0
5.011904641,1,0,0,0,0,0,17,272508,372,0,2424,4395,0,16707,5433,3084,2303,3124,63,119,1902,797,233,11,45,197,10,1079,32,646,0,13,499,123,1,0,0,20,0,1,0,0,1,8.0
5.010271246,1,5,5,2,1,0,7,586144,4,2,2885,6253,1,23235,4234,906,471,922,63,9,1626,702,205,7,135,128,15,228,29,23,0,78,584,73,1,0,0,21,0,1,0,0,1,12.0
5.01059934,1,6,6,2,1,2,61,286866,507,2,2364,4767,1,17004,6744,2948,1687,2967,0,9,2519,944,387,11,44,219,16,831,33,215,0,10,379,82,1,5,5,275,1,1,1,0,2,3.0
5.010674403,1,0,0,0,0,12,17,362911,336,0,2023,3559,0,16160,2174,2307,2231,2315,63,5,42,9,209,0,5,122,12,1192,32,837,0,11,357,76,1,0,0,5,0,1,0,0,1,4.0
5.011570855,1,0,0,0,0,0,21,279789,342,0,571,3698,0,15856,1832,2095,2014,2110,0,4,39,5,227,0,6,129,10,945,29,574,0,13,320,65,1,0,0,3,0,1,0,0,1,5.0
5.009765662,1,5,5,3,2,0,16,607180,3,2,628,5278,1,23656,6145,1285,423,1303,252,11,2500,949,208,11,45,125,16,231,33,26,0,84,388,74,3,1,0,21,1,1,2,2,3,1.0
5.010892739,1,5,5,2,1,0,57,287082,513,2,2299,4868,1,17089,6873,3060,2139,3056,252,9,2490,937,391,11,45,217,16,840,38,219,0,11,363,89,1,0,0,278,0,1,0,0,1,2.0
5.010935325,1,0,0,0,0,0,35,302234,508,0,2053,4694,0,16728,3995,2247,1799,2253,63,5,915,275,387,4,5,211,11,826,38,206,0,10,354,70,1,0,0,269,0,1,0,0,1,2.0
5.010617958,1,0,0,0,0,2,13,616540,3,0,2290,5138,0,24114,7603,1452,177,1468,126,5,3197,1057,211,13,44,123,12,235,30,29,0,84,386,64,1,0,0,29,0,1,0,0,1,14.0
5.017521632,1,0,0,1,1,0,16,261846,347,0,635,4310,0,16684,4906,2671,2177,2924,126,7,1665,466,231,6,33,139,13,956,25,572,0,17,367,81,1,1,0,22,0,1,2,2,2,5.0
